,artist_id,artists_name,track_id,song_name,album_name,album_type,release_date,popularity,danceability,energy,key,loudness,instrumentalness,liveness,acousticness,tempo,mode,valence,duration_ms,time_signatures
235,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,42nDnUAPjhZFlj5wt2BjJm,Light Switch - Acoustic,Light Switch (Acoustic),single,2022-02-18,48,0.748,0.407,6,-6.26,0.0,0.163,0.745,91.974,1,0.947,186296,4
236,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6hcHRtozkrTnk8D6rh7lED,Left and Right (Feat. Jung Kook of BTS),Left and Right (feat. Jung Kook of BTS) [Sam Feldt Remix],single,2022-08-12,58,0.881,0.592,2,-4.898,1.32e-05,0.0901,0.619,101.058,1,0.719,154487,4
237,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,4KVzPTFZXByIdBBH9dXiLT,Left Right Left,Nine Track Mind,album,2016-01-29,35,0.698,0.712,2,-3.634,0.0,0.0602,0.21,99.952,1,0.486,206467,4
238,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,5IczhYC3YVI2IwxoJJoCmb,Light Switch - Tiësto Remix,Light Switch (Tiësto Remix),single,2022-03-04,53,0.7,0.832,1,-4.969,0.464,0.278,0.000421,129.983,1,0.533,170769,4
239,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,5DtTZfXWnMPzgSsl3GGN8u,One Call Away - Acoustic,One Call Away (Acoustic + Remixes),single,2015-11-27,55,0.649,0.258,1,-13.442,0.0,0.0799,0.74,90.937,1,0.372,189053,4
240,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,4Xc7y7CHJn51Toq1c77TXl,Left and Right (Feat. Jung Kook of BTS),Left and Right (feat. Jung Kook of BTS) [Galantis Remix],single,2022-09-01,55,0.881,0.592,2,-4.898,1.32e-05,0.0901,0.619,101.058,1,0.719,154487,4
241,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1sN7BEKCIWKcK8CvKBETkw,Light Switch - Brighter Mix,Light Switch (Brighter Mix),single,2022-01-19,44,0.707,0.647,6,-5.659,4.72e-05,0.0659,0.152,183.993,1,0.96,178617,4
242,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,19f9roe77Hen23e6vJ1iBN,One Call Away,Nine Track Mind (Deluxe Edition),album,2016-11-11,33,0.667,0.613,1,-5.353,0.0,0.115,0.403,91.024,1,0.47,194453,4
243,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,17IVw95dOZSIiq7dz4UWaD,Left and Right (feat. Jung Kook of BTS) - Sam Feldt Remix,Left and Right (feat. Jung Kook of BTS) [Sam Feldt Remix],single,2022-08-12,53,0.773,0.836,2,-5.366,0.000448,0.0914,0.0295,122.006,1,0.614,162541,4
244,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,0lWsA6TPYDRWenhCJrbfYu,Left and Right (Feat. Jung Kook of BTS) - Acapella,Left and Right (Feat. Jung Kook of BTS),single,2022-08-19,54,0.571,0.169,9,-8.628,0.0,0.0975,0.753,202.365,1,0.742,154487,4
245,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6qHPJleQOdQDEZvbxjY7jR,Losing My Mind,Nine Track Mind,album,2016-01-29,31,0.705,0.501,1,-10.997,0.0761,0.104,0.759,100.042,1,0.16,212213,4
246,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6qgMSxNUPmqHbVr5uPKuqo,Attention - Live from Spotify Studios NYC,Spotify Singles,single,2017-08-23,38,0.716,0.179,0,-12.142,0.0,0.122,0.913,98.012,0,0.405,222270,4
247,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,4I8s6vwzHT2geqH91w2Dyg,Attention - Acoustic,Attention (Acoustic + Remixes),single,2017-06-09,54,0.527,0.506,6,-4.35,0.0,0.116,0.593,199.949,1,0.96,206702,4
248,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1KoSVcMX0QEQSvqxTemRnR,Some Type of Love,Nine Track Mind,album,2016-01-29,36,0.702,0.595,2,-6.005,0.0,0.0753,0.392,90.497,1,0.366,187907,4
249,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,33SkruahtMKjSqtVQB9ryC,Suffer,Nine Track Mind (Deluxe Edition),album,2016-11-11,27,0.58,0.443,3,-7.323,0.0,0.0742,0.75,175.938,0,0.576,210680,3
250,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4Wu62DoQg1ECGlDKDfo30R,Hero,Hero,single,2022-12-08,76,0.534,0.696,9,-5.211,0.0,0.248,0.316,168.149,0,0.251,160714,4
251,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,1xMLthTaWJieT9YGV1hyS5,Animals,Gold Skies,single,2014-07-01,55,0.676,0.865,1,-6.381,0.648,0.382,0.00105,128.006,1,0.0372,303773,4
252,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Scared to Be Lonely,single,2017-01-27,74,0.584,0.54,1,-7.786,0.0,0.261,0.0895,137.972,0,0.195,220883,4
253,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4RVtBlHFKj51Ipvpfv5ER4,Drown (feat. Clinton Kane),Drown (feat. Clinton Kane),single,2020-02-27,64,0.573,0.739,9,-5.455,0.0,0.175,0.212,120.077,1,0.363,174062,4
254,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,65G7XDGcybJiGywSCXJiL5,Animals - Radio Edit,Animals,single,2016-12-16,58,0.593,0.914,1,-5.351,0.445,0.0714,0.00137,128.015,1,0.0381,176120,4
255,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6EsH66Uto1zwZlDGQ6RokU,Forbidden Voices,Forbidden Voices,single,2015-02-23,56,0.534,0.711,10,-5.927,0.0031,0.135,0.05,128.102,0,0.3,230635,4
